scenario,month,units,gross_sales,cash_collected,ending_receivable,refund_reserve,vat_reserve,manufacturing_cogs,other_variable_expense,contribution,fixed_opex,nre_cash,operating_profit,inventory_purchase_units,inventory_purchase_cash,ending_inventory_units,ending_inventory_value,net_cash_flow,ending_cash
downside,0,0,0,0,0,0,0,0,0,0,0,120000.0,-120000.0,0,0.0,0,0.0,-120000.0,480000.0
downside,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0,-55000.0,11,1188.0,11,1188.0,-56188.0,423812.0
downside,2,10,2990.0,2990.0,0.0,119.6,343.98,1080.0,781.3,665.12,55000.0,0,-54334.88,30,3240.0,31,3348.0,-56494.88,367317.12
downside,3,28,8372.0,8372.0,0.0,334.88,963.15,3024.0,2187.64,1862.33,55000.0,0,-53137.67,54,6271.0,57,6595.0,-56384.67,310932.45
downside,4,52,17948.0,15251.0,2697.0,717.92,2064.81,6041.0,4799.26,4325.01,55000.0,0,-50674.99,91,10594.0,96,11148.0,-57924.99,253007.45
downside,5,88,30212.0,29313.0,3596.0,1208.48,3475.72,10220.0,8044.76,7263.04,55000.0,0,-47736.96,147,17102.0,155,18030.0,-55517.96,197489.5
downside,6,140,48160.0,45463.0,6293.0,1926.4,5540.53,16261.0,12844.02,11588.05,55000.0,0,-43411.95,216,25000.0,231,26769.0,-54847.95,142641.55
downside,7,210,71990.0,69293.0,8990.0,2879.6,8282.04,24338.0,19194.46,17295.9,55000.0,0,-37704.1,286,33234.0,307,35665.0,-49297.1,93344.45
downside,8,280,96320.0,92724.0,12586.0,3852.8,11081.06,32522.0,25688.04,23176.1,55000.0,0,-31823.9,358,41655.0,385,44798.0,-44552.9,48791.55
downside,9,350,120650.0,117054.0,16182.0,4826.0,13880.09,40706.0,32181.62,29056.29,55000.0,0,-25943.71,465,53983.0,500,58075.0,-42816.71,5974.84
downside,10,455,156645.0,152150.0,20677.0,6265.8,18021.11,52875.0,41778.85,37704.24,55000.0,0,-17295.76,532,61879.0,577,67079.0,-30794.76,-24819.92
base,0,0,0,0,0,0,0,0,0,0,0,120000.0,-120000.0,0,0.0,0,0.0,-120000.0,480000.0
