scenario,month,S99,S199,S299,S499,S899,opex_multiplier
downside,1,0,0,0,0,0,1
downside,2,0,0,10,0,0,1
downside,3,0,0,28,0,0,1
downside,4,3,8,28,10,3,1
downside,5,4,13,49,18,4,1
downside,6,7,21,77,28,7,1
downside,7,10,32,116,42,10,1
downside,8,14,42,154,56,14,1
downside,9,18,52,192,70,18,1
downside,10,23,68,250,91,23,1
base,1,0,0,0,0,0,1
base,2,0,0,30,0,0,1
base,3,0,0,80,0,0,1
base,4,8,22,82,30,8,1
base,5,12,38,138,50,12,1
base,6,20,60,220,80,20,1
base,7,30,90,330,120,30,1
base,8,40,120,440,160,40,1
base,9,50,150,550,200,50,1
base,10,65,195,715,260,65,1
upside,1,0,0,0,0,0,1
upside,2,0,0,51,0,0,1
upside,3,0,0,136,0,0,1
upside,4,13,38,140,51,13,1.2
upside,5,21,64,234,85,21,1.2
upside,6,34,102,374,136,34,1.2
upside,7,51,153,561,204,51,1.2
upside,8,68,204,748,272,68,1.2
upside,9,85,255,935,340,85,1.2
upside,10,110,332,1216,442,110,1.2
