Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF_16V_X7R","C1",23.000000,-18.000000,0.000000,bottom
"C2","10uF_10V_X5R","C2",23.000000,-24.000000,0.000000,bottom
"C3","100nF_16V_X7R","C3",23.000000,-30.000000,0.000000,bottom
"R1","470R","R1",14.000000,-18.000000,0.000000,bottom
"R2","470R","R2",14.000000,-23.000000,0.000000,bottom
"R3","470R","R3",14.000000,-28.000000,0.000000,bottom
"R4","1k","R4",14.000000,-33.000000,0.000000,bottom
"R5","4.7k","R5",18.000000,-39.000000,0.000000,bottom
"R6","4.7k","R6",18.000000,-44.000000,0.000000,bottom
"R7","10k","R7",14.000000,-49.000000,0.000000,bottom
